NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
llvm_mir;https://github.com/Flakebi/tree-sitter-llvm-mir;2024-10-04;14;true;false;false
lua;https://github.com/Azganoth/tree-sitter-lua;2022-08-14;13;true;true;false
lua;https://github.com/tjdevries/tree-sitter-lua;2024-10-23;14;true;true;false
lua;https://github.com/tree-sitter-grammars/tree-sitter-lua;2025-05-17;15;true;true;maybe
luadoc;https://github.com/tree-sitter-grammars/tree-sitter-luadoc;2024-02-09;14;true;false;false
luap;https://github.com/vhyrro/tree-sitter-luap;2022-03-12;13;true;false;false
luap;https://github.com/tree-sitter-grammars/tree-sitter-luap;2024-06-08;14;true;false;false
luau;https://github.com/tree-sitter-grammars/tree-sitter-luau;2024-12-22;14;true;true;false
luau;https://github.com/polychromatist/tree-sitter-luau;2025-03-15;14;true;true;false
m68k;https://github.com/grahambates/tree-sitter-m68k;2024-07-24;14;true;false;false
magik;https://github.com/krn-robin/tree-sitter-magik;2025-07-21;15;true;false;false
mail;https://github.com/stevenxxiu/tree-sitter-mail;2025-05-26;14;true;false;false
make;https://github.com/alemuller/tree-sitter-make;2021-12-16;13;true;false;false
make;https://github.com/tree-sitter-grammars/tree-sitter-make;2024-12-21;14;true;false;false
mal;https://github.com/sogaiu/tree-sitter-mal;2022-12-22;13;true;false;false
mandbconfig;https://github.com/TornaxO7/tree-sitter-man-db-config;2024-11-01;-;false;false;false
markdown;https://github.com/tree-sitter-grammars/tree-sitter-markdown;2025-03-23;15;true;true;true
markdown_inline;https://github.com/tree-sitter-grammars/tree-sitter-markdown;2025-03-23;15;true;true;false
math;https://github.com/DerekStride/tree-sitter-math;2021-07-31;13;true;false;false
matlab;https://github.com/mstanciu552/tree-sitter-matlab;2023-04-13;14;true;false;false
matlab;https://github.com/acristoffers/tree-sitter-matlab;2025-07-19;15;true;true;false
menhir;https://github.com/Kerl13/tree-sitter-menhir;2023-07-17;13;true;true;false
mermaid;https://github.com/monaqa/tree-sitter-mermaid;2024-04-23;14;true;false;maybe
